,0
1331,Arkansas-Pine Bluff
1332,Purdue
1333,SMU
1334,Kansas
1335,Iowa State
1336,Kansas State
1337,Texas
1338,Oklahoma State
1339,Baylor
1340,Texas Tech
1341,Oklahoma
1342,West Virginia
1343,Texas A&M
1344,Wyoming
1345,SMU
1346,Georgia State
1347,Nicholls State
1348,Louisiana-Monroe
1349,Arkansas State
1350,Louisiana
1351,South Alabama
1352,Troy
1353,Appalachian State
1354,Coastal Carolina
1355,Montana State
1356,UTEP
1357,Arizona
1358,Oklahoma
1359,Oklahoma State
1360,Baylor
1361,Iowa State
1362,Kansas
1363,West Virginia
1364,Texas Christian
1365,Kansas State
1366,Texas
1367,Kentucky
1368,Murray State
1369,Colorado State
1370,BYU
1371,Western Michigan
1372,Bowling Green
1373,Ball State
1374,Eastern Michigan
1375,Kent State
1376,Northern Illinois
1377,Buffalo
1378,Central Michigan
1379,Campbell
1380,Southern Mississippi
1381,Akron
1382,Arkansas State
1383,Missouri
1384,South Alabama
1385,Georgia State
1386,Coastal Carolina
1387,Georgia Southern
1388,Texas State
1389,Louisiana
1390,Appalachian State
1391,Florida International
1392,Auburn
1393,Missouri State
1394,Houston
1395,Army
1396,Connecticut
1397,Memphis
1398,Navy
1399,Tulsa
1400,Temple
1401,UCF
1402,SMU
1403,Southern Mississippi
1404,Michigan State
1405,San Jose State
1406,Oklahoma State
1407,Wyoming
1408,SMU
1409,Navy
1410,Cincinnati
1411,Memphis
1412,Tulane
1413,UCF
1414,Houston
1415,East Carolina
1416,Alabama State
1417,Akron
1418,South Alabama
1419,Western Kentucky
1420,Rice
1421,UTSA
1422,Old Dominion
1423,Tennessee
1424,Southern Mississippi
1425,UTEP
1426,Louisiana Tech
1427,North Texas
1428,Florida Atlantic
1429,Appalachian State
1430,Florida A&M
1431,Florida Atlantic
1432,Stanford
1433,Pitt
1434,Connecticut
1435,Cincinnati
1436,East Carolina
1437,Temple
1438,Houston
1439,Tulsa
1440,Tulane
1441,South Florida
1442,Marshall
1443,Cincinnati
1444,San Diego State
1445,Oklahoma
1446,Washington State
1447,Arizona
1448,Oregon State
1449,Stanford
1450,Arizona State
1451,Colorado
1452,Utah
1453,USC
1454,California
1455,Fresno State
1456,Stanford
1457,BYU
1458,Utah
1459,Washington
1460,Notre Dame
1461,Arizona
1462,Colorado
1463,Oregon
1464,Arizona State
1465,California
1466,UCLA
1467,Iowa
1468,BYU
1469,Northern Illinois
1470,Idaho State
1471,USC
1472,Washington State
1473,Oregon State
1474,Arizona State
1475,California
1476,Washington
1477,UCLA
1478,Arizona
1479,Colorado
1480,Oregon
1481,Texas
1482,Wake Forest
1483,Stony Brook
1484,San Diego State
1485,Colorado State
1486,LSU
1487,Nevada
1488,Air Force
1489,BYU
1490,Fresno State
1491,Wyoming
1492,Boise State
1493,New Mexico
1494,Kent State
1495,Houston Baptist
1496,Texas Tech
1497,Nevada
1498,Southern Mississippi
1499,UTSA
